goodreads_book_id,tag_id,count
1,11305,37174
1,33114,12716
2,11305,3441
3,11305,47478
3,33114,14984
5,11305,39330
5,33114,12856
6,11305,38378
6,33114,12979
6,11743,10249
8,11305,104
10,11305,253
10,11743,84
11,26771,9773
13,26771,2478
24,21689,1971
25,15048,603
26,21689,1104
27,21689,1120
28,21689,2006
29,21689,410
29,15048,170
30,11743,322
30,11305,105
33,11305,13690
33,7457,3904
34,11305,31618
34,7457,7966
34,11743,7187
36,11305,104
36,21689,28
50,33114,2121
50,11743,1587
50,1691,934
67,14487,682
67,11743,212
93,7457,2886
93,11743,858
98,23005,208
105,26771,1029
105,11743,439
106,11743,1080
106,11305,620
112,26771,2136
112,11743,887
112,11305,478
117,26771,1151
117,11743,501
119,11305,89
122,11743,1102
122,14487,465
231,11743,536
249,11743,271
249,7457,226
250,11743,363
250,7457,150
264,7457,2632
264,11743,1053
275,11743,656
291,23831,63
291,7457,36
295,7457,8727
295,11743,3299
295,1691,1887
304,7457,830
304,11743,349
320,7457,5578
343,11743,2637
343,14487,1473
348,26771,475
348,11743,204
350,26771,3641
350,11743,2069
353,26771,544
353,11743,252
355,26771,326
355,11743,240
355,11305,217
357,11743,1074
357,11305,1018
357,26771,762
359,26771,422
359,11305,198
360,26771,2060
360,11743,1318
360,15048,1162
365,11743,452
365,26771,422
378,11305,2880
378,11743,1777
386,21689,182
386,19742,78
400,11743,407
400,14487,128
415,11743,378
424,21689,246
428,7457,123
431,11743,1071
431,20939,301
432,11743,261
432,20939,126
446,11743,406
446,8055,57
447,11743,284
449,11743,272
456,11743,261
475,21689,575
597,21689,416
597,20673,304
599,21689,1229
621,11937,146
621,21689,115
629,23471,2932
629,11743,1374
629,21689,1196
647,21689,973
656,7457,7569
656,11743,3173
662,11743,4365
662,7457,3165
662,23471,1698
665,23471,537
665,21689,206
667,11743,1934
667,23471,723
668,7457,291
668,23471,231
676,23831,1355
698,11743,454
703,11743,431
703,14487,371
706,15048,1583
706,21689,874
760,11743,812
771,26816,2944
771,23569,741
816,11743,1892
816,26771,1184
822,11743,495
822,14487,457
823,11743,856
823,14487,806
825,11743,369
825,26771,190
827,26771,1470
827,11743,1015
830,26771,3277
830,11743,2190
840,9318,615
840,21689,328
865,11743,9712
865,7457,3089
870,19052,381
870,13547,141
880,14487,1215
880,11743,532
880,14467,247
890,7457,19214
890,11743,9439
900,21689,418
902,20939,2666
902,33114,1416
903,11743,280
903,33114,261
930,11743,8127
930,14487,7195
952,23005,250
952,21689,98
952,7077,61
960,11743,9364
960,20939,5740
960,30358,4563
968,11743,13725
968,30358,5358
976,11743,3201
976,30358,2273
976,20939,1594
998,21689,602
998,11937,536
998,5951,513
1005,23334,376
1005,11937,279
1032,5951,222
1032,21689,94
1032,4605,89
1052,5951,496
1052,11937,424
1052,21689,287
1067,21689,1886
1097,21689,3640
1103,14487,3432
1103,11743,2442
1110,30358,375
1110,20939,300
1171,5951,280
1171,11937,243
1171,21689,238
1202,26816,878
1202,21689,623
1232,11743,4560
1232,14487,2973
1241,21689,717
1241,4605,282
1274,21689,1038
1274,27095,736
1295,14487,463
1301,21689,397
1301,28422,349
1303,21689,591
1303,5951,485
1305,11743,488
1305,14487,450
1307,11305,251
1307,11743,87
1319,27095,366
1362,7457,911
1362,21689,514
1371,7457,8814
1371,23831,2823
1371,11743,2132
1375,7457,1055
1375,11743,281
1375,23831,247
1381,7457,14238
1381,11743,3670
1381,23831,3418
1420,7457,13787
1420,23743,6984
1426,23471,128
1427,11743,146
1427,23471,121
1428,11743,644
1430,11743,877
1519,7457,1077
1519,23743,736
1519,9886,435
1524,7457,335
1524,23743,270
1524,9886,124
1524,11743,59
1540,7457,1415
1540,23743,869
1540,9886,494
1540,11743,355
1554,9886,823
1554,11743,716
1591,9886,283
1591,11743,194
1617,21689,5705
1617,7457,3905
1618,11743,1099
1618,33114,380
1622,7457,9438
1622,23743,5185
1624,21689,501
1624,4605,315
1625,7457,4199
1625,23743,2926
1625,27438,1555
1627,11743,663
1627,27669,400
1627,26138,303
1633,21689,124
1635,5951,463
1715,23831,1226
1715,21024,583
1715,11743,419
1823,21689,637
1824,21689,586
1842,21689,1444
1845,21689,6361
1846,7077,509
1846,21689,291
1848,4605,709
1848,21689,520
1849,11743,223
1849,20939,106
1852,7457,5666
1852,11743,2967
1869,21689,312
1875,21689,423
1885,7457,35772
1885,11743,11000
1885,26138,8756
1897,21689,319
1897,1691,169
1898,21689,1345
1911,21689,1572
1911,5951,577
1934,7457,20533
1934,11743,5990
1953,7457,16170
1953,11743,5394
1990,7457,572
1990,11743,245
2002,11305,267
2002,11743,81
2049,20939,353
2049,11743,243
2049,8517,201
2049,21672,184
2050,20939,685
2050,21672,285
2052,21672,627
2054,20939,707
2054,11743,575
2054,8517,325
2067,23471,432
2067,21689,331
2067,26816,214
2068,26816,552
2068,23471,370
2068,21689,263
2094,21689,600
2094,26816,145
2095,23569,313
2095,26816,290
2095,21689,185
2122,11743,3692
2122,7457,2578
2137,11743,403
2142,11743,45
2152,11743,1165
2152,6750,601
2156,7457,14048
2156,11743,3865
2159,21689,693
2159,10245,422
2165,7457,10485
2165,11743,6306
2175,7457,6900
2175,11743,2810
2183,11743,319
2183,12452,105
2187,11743,6142
2199,21689,1614
2199,4605,1245
2203,4605,2591
2203,21689,1562
2255,11743,188
2265,3611,111
2265,28422,89
2279,4605,299
2368,4605,633
2368,21689,295
2371,21689,160
2372,21689,343
2373,20939,927
2373,30358,543
2373,8517,528
2430,11743,53
2430,20939,41
2442,11305,3855
2442,15048,654
2442,11743,642
2493,7457,6362
2493,26771,3792
2517,11743,893
2517,14487,515
2526,11743,2546
2528,11743,332
2530,11743,186
2530,14487,112
2547,23831,1883
2547,23471,1270
2547,7457,1048
2612,21689,6234
2612,5951,2079
2615,5951,575
2615,21689,276
2623,7457,15539
2623,11743,5149
2657,7457,31068
2657,14487,4735
2666,11743,1349
2666,7457,184
2677,11743,125
2677,15048,66
2696,23831,1615
2715,21689,1632
2743,21689,704
2743,4605,244
2744,11305,6666
2744,11743,2301
2748,11743,178
2748,15048,78
2767,21689,2673
2784,21689,640
2784,23471,229
2794,11743,1685
2794,7457,498
2839,33114,2245
2839,11743,1980
2865,14487,5028
2865,11743,2943
2865,14467,960
2872,14487,721
2872,14467,163
2873,14487,762
2873,11743,450
2873,14467,160
2879,19052,1201
2880,19052,3914
2880,11305,275
2915,33114,255
2915,11743,233
2915,1691,162
2932,7457,5907
2932,11743,2460
2956,7457,17401
2956,11743,7519
2998,7457,12224
2998,11743,3873
3008,7457,5576
3008,11743,1518
3028,10245,959
3028,21689,317
3049,7457,1617
3049,23831,989
3049,11305,511
3049,11743,475
